,x
TRINITY_DN22958_c0_g1_i2|m.9900,10
TRINITY_DN23002_c0_g1_i1|m.9961,5
TRINITY_DN23013_c0_g1_i1|m.9975,2
TRINITY_DN23027_c0_g1_i1|m.9994,5
TRINITY_DN23052_c0_g1_i1|m.9959,2
TRINITY_DN23061_c0_g1_i1|m.10020,5
TRINITY_DN23073_c0_g1_i1|m.10024,3
TRINITY_DN23077_c0_g1_i1|m.10029,4
TRINITY_DN23115_c0_g1_i2|m.10066,10
TRINITY_DN23121_c0_g1_i1|m.10067,10
TRINITY_DN23123_c0_g2_i1|m.10090,19
TRINITY_DN23153_c0_g3_i1|m.10109,3
TRINITY_DN23202_c0_g1_i1|m.10154,14
TRINITY_DN23229_c0_g1_i1|m.10189,2
TRINITY_DN23235_c0_g2_i1|m.10144,19
TRINITY_DN23339_c0_g1_i1|m.10302,10
TRINITY_DN23340_c0_g1_i1|m.10304,3
TRINITY_DN23366_c0_g1_i1|m.10329,10
TRINITY_DN23386_c0_g1_i1|m.10334,2
TRINITY_DN23405_c0_g2_i1|m.10369,10
TRINITY_DN23405_c0_g3_i1|m.10371,19
TRINITY_DN23405_c0_g3_i2|m.10373,19
TRINITY_DN23410_c0_g1_i1|m.10365,11
TRINITY_DN23479_c0_g1_i1|m.10428,3
TRINITY_DN23501_c0_g1_i1|m.10449,3
TRINITY_DN23529_c0_g1_i1|m.10465,10
TRINITY_DN23530_c0_g1_i4|m.10468,5
TRINITY_DN23532_c0_g1_i1|m.10482,5
TRINITY_DN23538_c0_g3_i1|m.10483,10
TRINITY_DN23543_c0_g1_i1|m.10445,10
TRINITY_DN23567_c0_g1_i1|m.10501,3
TRINITY_DN23569_c0_g2_i1|m.10509,5
TRINITY_DN23570_c0_g1_i2|m.10512,3
TRINITY_DN23675_c0_g1_i1|m.10586,3
TRINITY_DN23698_c0_g1_i1|m.10656,3
TRINITY_DN23724_c0_g1_i1|m.10680,2
TRINITY_DN23769_c0_g1_i1|m.10740,3
TRINITY_DN23773_c0_g1_i1|m.10741,3
TRINITY_DN23817_c0_g1_i1|m.10790,2
TRINITY_DN23821_c0_g3_i1|m.10792,5
TRINITY_DN23845_c0_g1_i1|m.10770,2
TRINITY_DN23864_c1_g1_i1|m.10841,5
TRINITY_DN23864_c1_g1_i2|m.10842,2
TRINITY_DN23867_c0_g1_i1|m.10832,7
TRINITY_DN23876_c0_g1_i2|m.10851,6
TRINITY_DN23880_c0_g1_i1|m.10852,2
TRINITY_DN23882_c0_g1_i1|m.10853,5
TRINITY_DN23886_c0_g1_i1|m.10865,3
TRINITY_DN23890_c0_g1_i1|m.10795,3
TRINITY_DN23915_c0_g1_i1|m.10963,2
TRINITY_DN23920_c0_g1_i1|m.10985,5
TRINITY_DN23928_c0_g1_i1|m.10987,14
TRINITY_DN23943_c0_g1_i1|m.10919,5
TRINITY_DN23957_c0_g1_i1|m.11009,4
TRINITY_DN23967_c0_g1_i1|m.11015,2
TRINITY_DN23972_c0_g1_i1|m.10965,20
TRINITY_DN23977_c0_g1_i1|m.11021,3
TRINITY_DN23988_c0_g1_i1|m.11025,2
TRINITY_DN24015_c0_g1_i1|m.11043,3
TRINITY_DN24017_c0_g1_i1|m.11056,19
TRINITY_DN24017_c0_g1_i2|m.11058,19
TRINITY_DN24020_c0_g1_i1|m.11070,10
TRINITY_DN24022_c0_g1_i1|m.11077,4
TRINITY_DN24058_c0_g1_i2|m.11084,2
TRINITY_DN24063_c0_g1_i1|m.11094,7
TRINITY_DN24074_c0_g1_i1|m.11106,10
TRINITY_DN24092_c0_g1_i1|m.11075,21
TRINITY_DN24117_c0_g1_i1|m.11162,4
TRINITY_DN24133_c0_g1_i1|m.11179,2
TRINITY_DN24133_c0_g2_i1|m.11180,10
TRINITY_DN24165_c0_g1_i1|m.11185,1
TRINITY_DN24166_c0_g1_i2|m.11207,5
TRINITY_DN24187_c0_g1_i1|m.11229,5
TRINITY_DN24195_c0_g1_i1|m.11243,20
TRINITY_DN24226_c0_g1_i1|m.11267,10
TRINITY_DN24235_c0_g1_i1|m.11270,3
TRINITY_DN24259_c0_g1_i1|m.11297,10
TRINITY_DN24261_c0_g1_i1|m.11253,6
TRINITY_DN24262_c0_g1_i1|m.11310,3
TRINITY_DN24303_c0_g1_i1|m.11350,2
TRINITY_DN24308_c0_g1_i1|m.11361,13
TRINITY_DN24311_c0_g2_i1|m.11370,2
TRINITY_DN24312_c0_g1_i1|m.11367,5
TRINITY_DN24320_c0_g1_i1|m.11376,5
TRINITY_DN24343_c0_g1_i1|m.11380,3
TRINITY_DN24353_c0_g1_i1|m.11399,10
TRINITY_DN24362_c0_g1_i1|m.11413,2
TRINITY_DN24365_c0_g1_i1|m.11416,21
TRINITY_DN24402_c0_g1_i2|m.11470,3
TRINITY_DN24451_c0_g1_i1|m.11517,10
TRINITY_DN24451_c0_g2_i1|m.11519,10
TRINITY_DN24489_c0_g1_i2|m.11472,10
TRINITY_DN24529_c0_g1_i1|m.11636,5
TRINITY_DN24566_c0_g1_i1|m.11657,10
TRINITY_DN24580_c0_g1_i1|m.11671,15
TRINITY_DN24603_c0_g2_i1|m.11706,13
TRINITY_DN24603_c0_g2_i10|m.11724,3
TRINITY_DN24603_c0_g2_i4|m.11712,3
TRINITY_DN24603_c0_g2_i5|m.11713,3
TRINITY_DN24603_c0_g2_i6|m.11715,2
TRINITY_DN24605_c0_g1_i1|m.11701,11
TRINITY_DN24626_c0_g1_i1|m.11752,8
TRINITY_DN24634_c0_g1_i1|m.11754,10
TRINITY_DN24638_c0_g1_i2|m.11749,5
TRINITY_DN24646_c0_g1_i1|m.11789,3
TRINITY_DN24655_c1_g1_i2|m.11813,2
TRINITY_DN24655_c1_g1_i3|m.11814,10
TRINITY_DN24670_c0_g1_i1|m.11823,10
TRINITY_DN24678_c0_g3_i1|m.11831,10
TRINITY_DN24681_c0_g1_i1|m.11839,5
TRINITY_DN24684_c0_g1_i2|m.11843,10
TRINITY_DN24691_c0_g1_i1|m.11854,5
TRINITY_DN24696_c0_g1_i1|m.11855,11
TRINITY_DN24723_c0_g1_i1|m.11889,5
